"File","Line","Module","Import","Reason"
"C:\dev\emergenceV8\src\backend\core\session_manager.py","9","backend.shared.models.Session","from backend.shared.models import Session, ChatMessage, AgentMessage","No path in ARBO"
"C:\dev\emergenceV8\src\backend\core\session_manager.py","10","backend.core.database.manager.DatabaseManager","from backend.core.database.manager import DatabaseManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\core\session_manager.py","11","backend.core.database.queries","from backend.core.database import queries # Import du module queries","No path in ARBO"
"C:\dev\emergenceV8\src\backend\core\session_manager.py","12","backend.features.memory.analyzer.MemoryAnalyzer","from backend.features.memory.analyzer import MemoryAnalyzer","No path in ARBO"
"C:\dev\emergenceV8\src\backend\core\temporal_search.py","6","backend.core.database_backup.DatabaseManager","from backend.core.database_backup import DatabaseManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\core\temporal_search.py","7","backend.shared.exceptions.TemporalSearchException","from backend.shared.exceptions import TemporalSearchException","No path in ARBO"
"C:\dev\emergenceV8\src\backend\core\websocket.py","9","backend.ession_manager.SessionManager","from .session_manager import SessionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\router.py","10","backend.shared.models.Role","from backend.shared.models import ChatMessage, Role","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\router.py","10","backend.shared.models.ChatMessage","from backend.shared.models import ChatMessage, Role","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\router.py","11","backend.shared.dependencies.get_user_id_from_websocket","from backend.shared.dependencies import get_user_id_from_websocket","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\router.py","12","backend.core.websocket.ConnectionManager","from backend.core.websocket import ConnectionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\router.py","13","backend.containers.ServiceContainer","from backend.containers import ServiceContainer","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\router.py","15","backend.features.ervice.ChatService","from .service import ChatService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\router.py","16","backend.features.debate.service.DebateService","from backend.features.debate.service import DebateService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","19","backend.core.session_manager.SessionManager","from backend.core.session_manager import SessionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","20","backend.core.cost_tracker.CostTracker","from backend.core.cost_tracker import CostTracker","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","21","backend.core.websocket.ConnectionManager","from backend.core.websocket import ConnectionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","22","backend.shared.models.ChatMessage","from backend.shared.models import AgentMessage, Role, ChatMessage","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","22","backend.shared.models.Role","from backend.shared.models import AgentMessage, Role, ChatMessage","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","22","backend.shared.models.AgentMessage","from backend.shared.models import AgentMessage, Role, ChatMessage","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","23","backend.features.memory.vector_service.VectorService","from backend.features.memory.vector_service import VectorService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","24","backend.shared.config.Settings","from backend.shared.config import Settings","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\chat\service.py","25","backend.core.config","from backend.core import config","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\dashboard\router.py","7","backend.features.dashboard.service.DashboardService","from backend.features.dashboard.service import DashboardService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\dashboard\router.py","8","backend.shared.dependencies.get_dashboard_service","from backend.shared.dependencies import get_dashboard_service","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\dashboard\service.py","6","backend.core.database.manager.DatabaseManager","from backend.core.database.manager import DatabaseManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\dashboard\service.py","7","backend.core.database.queries as db_queries","from backend.core.database import queries as db_queries","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\dashboard\service.py","8","backend.core.cost_tracker.CostTracker","from backend.core.cost_tracker import CostTracker","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\router.py","7","backend.features.ervice.DebateService","from .service import DebateService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\router.py","9","backend.containers.ServiceContainer","from backend.containers import ServiceContainer","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","9","backend.core.session_manager.SessionManager","from backend.core.session_manager import SessionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","10","backend.core.websocket.ConnectionManager","from backend.core.websocket import ConnectionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","11","backend.features.chat.service.ChatService","from backend.features.chat.service import ChatService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","12","backend.features.memory.vector_service.VectorService","from backend.features.memory.vector_service import VectorService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","13","backend.shared.config.Settings","from backend.shared.config import Settings","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","14","backend.core.config as core_config","from backend.core import config as core_config","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","15","backend.features.odels.DebateTurn","from .models import DebateConfig, DebateSession, DebateTurn, DebateStatus","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","15","backend.features.odels.DebateStatus","from .models import DebateConfig, DebateSession, DebateTurn, DebateStatus","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","15","backend.features.odels.DebateConfig","from .models import DebateConfig, DebateSession, DebateTurn, DebateStatus","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\debate\service.py","15","backend.features.odels.DebateSession","from .models import DebateConfig, DebateSession, DebateTurn, DebateStatus","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\documents\router.py","8","backend.features.ervice.DocumentService","from .service import DocumentService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\documents\router.py","9","backend.shared.dependencies","from backend.shared import dependencies","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\documents\service.py","13","backend.core.database.manager.DatabaseManager","from backend.core.database.manager import DatabaseManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\documents\service.py","14","backend.core.database.queries as db_queries","from backend.core.database import queries as db_queries","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\documents\service.py","15","backend.features.documents.parser.ParserFactory","from backend.features.documents.parser import ParserFactory","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\documents\service.py","16","backend.features.memory.vector_service.VectorService","from backend.features.memory.vector_service import VectorService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\documents\service.py","17","backend.core.config","from backend.core import config","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\analyzer.py","9","backend.features.chat.service.ChatService","from backend.features.chat.service import ChatService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\analyzer.py","10","backend.core.database.manager.DatabaseManager","from backend.core.database.manager import DatabaseManager # NOUVEAU","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\analyzer.py","13","backend.core.database.queries","from backend.core.database import queries","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\gardener.py","8","backend.core.database_backup.DatabaseManager","from backend.core.database_backup import DatabaseManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\gardener.py","9","backend.features.memory.vector_service.VectorService","from backend.features.memory.vector_service import VectorService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\gardener.py","10","backend.features.memory.analyzer.MemoryAnalyzer","from backend.features.memory.analyzer import MemoryAnalyzer","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\router.py","7","backend.features.memory.gardener.MemoryGardener","from backend.features.memory.gardener import MemoryGardener","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\memory\router.py","8","backend.shared.dependencies.get_memory_gardener","from backend.shared.dependencies import get_memory_gardener","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\voice\router.py","9","backend.features.voice.service.VoiceService","from backend.features.voice.service import VoiceService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\voice\router.py","10","backend.shared.dependencies","from backend.shared import dependencies","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\voice\router.py","11","backend.shared.dependencies.WebSocketException","from backend.shared.dependencies import WebSocketException","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\voice\service.py","6","backend.features.odels.VoiceServiceConfig","from .models import VoiceServiceConfig","No path in ARBO"
"C:\dev\emergenceV8\src\backend\features\voice\service.py","8","backend.features.chat.service.ChatService","from backend.features.chat.service import ChatService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\main.py","31","backend.containers.ServiceContainer","from backend.containers import ServiceContainer  # type: ignore","No path in ARBO"
"C:\dev\emergenceV8\src\backend\main.py","32","backend.core.database.schema.initialize_database","from backend.core.database.schema import initialize_database  # type: ignore","No path in ARBO"
"C:\dev\emergenceV8\src\backend\main.py","33","backend.shared.dependencies","from backend.shared import dependencies  # type: ignore","No path in ARBO"
"C:\dev\emergenceV8\src\backend\shared\dependencies.py","9","backend.core.database.manager.DatabaseManager","from backend.core.database.manager import DatabaseManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\shared\dependencies.py","10","backend.core.session_manager.SessionManager","from backend.core.session_manager import SessionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\shared\dependencies.py","11","backend.core.cost_tracker.CostTracker","from backend.core.cost_tracker import CostTracker","No path in ARBO"
"C:\dev\emergenceV8\src\backend\shared\dependencies.py","12","backend.core.websocket.ConnectionManager","from backend.core.websocket import ConnectionManager","No path in ARBO"
"C:\dev\emergenceV8\src\backend\shared\dependencies.py","13","backend.features.chat.service.ChatService","from backend.features.chat.service import ChatService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\shared\dependencies.py","14","backend.features.documents.service.DocumentService","from backend.features.documents.service import DocumentService","No path in ARBO"
"C:\dev\emergenceV8\src\backend\shared\dependencies.py","15","backend.features.dashboard.service.DashboardService","from backend.features.dashboard.service import DashboardService","No path in ARBO"
